brand_raw,model_raw,normalized_brand,normalized_model,alias_rule,model_group,needs_mapping,confidence
OPEL,GRANDLAND,opel,grandland,mobility_sweden_exact_raw_name,,False,1.0
CITROEN,C3,citroen,c3,mobility_sweden_exact_raw_name,,False,1.0
SUZUKI,E VITARA,suzuki,e vitara,mobility_sweden_exact_raw_name,,False,1.0
VW,CARAVELLE,volkswagen,caravelle,mobility_sweden_exact_raw_name,,False,1.0
POLESTAR,YSM,polestar,ysm,mobility_sweden_exact_raw_name,,False,1.0
CITROEN,C5 AIRCROSS,citroen,c5 aircross,mobility_sweden_exact_raw_name,,False,1.0
MERCEDES,CITAN,mercedes benz,citan,mobility_sweden_exact_raw_name,,False,1.0
LOTUS,ELETRE,lotus,eletre,mobility_sweden_exact_raw_name,,False,1.0
TESLA,MODEL X,tesla,model x,mobility_sweden_exact_raw_name,,False,1.0
JEEP,AVENGER,jeep,avenger,mobility_sweden_exact_raw_name,,False,1.0
KIA,EV2,kia,ev2,mobility_sweden_exact_raw_name,,False,1.0
SMART,#3,smart,3,mobility_sweden_exact_raw_name,,False,1.0
CITROEN,SPACETOURER,citroen,spacetourer,mobility_sweden_exact_raw_name,,False,1.0
BMW,I7,bmw,i7,mobility_sweden_exact_raw_name,,False,1.0
FIAT,PANDA,fiat,panda,mobility_sweden_exact_raw_name,,False,1.0
JEEP,COMPASS,jeep,compass,mobility_sweden_exact_raw_name,,False,1.0
TESLA,MODEL S,tesla,model s,mobility_sweden_exact_raw_name,,False,1.0
SSANGYONG,TORRES,ssangyong,torres,mobility_sweden_exact_raw_name,,False,1.0
LEAPMOTOR,C10,leapmotor,c10,mobility_sweden_exact_raw_name,,False,1.0
FORD,MUSTANG MACH-E,ford,mustang mach e,mobility_sweden_exact_raw_name,,False,1.0
MERCEDES,V-KLASS,mercedes benz,v klass,mobility_sweden_exact_raw_name,,False,1.0
MERCEDES,VITO,mercedes benz,vito,mobility_sweden_exact_raw_name,,False,1.0
MERCEDES,EQT,mercedes benz,eqt,mobility_sweden_exact_raw_name,,False,1.0
CADILLAC,LYRIQ,cadillac,lyriq,mobility_sweden_exact_raw_name,,False,1.0
OPEL,MOKKA,opel,mokka,mobility_sweden_exact_raw_name,,False,1.0
DS,N° 8,ds,n 8,mobility_sweden_exact_raw_name,,False,1.0
CADILLAC,OPTIQ,cadillac,optiq,mobility_sweden_exact_raw_name,,False,1.0
AUDI,E-TRON GT,audi,e tron gt,mobility_sweden_exact_raw_name,,False,1.0
XPENG,P7,xpeng,p7,mobility_sweden_exact_raw_name,,False,1.0
VW,ID.5,volkswagen,id 5,mobility_sweden_exact_raw_name,,False,1.0
FORD,TRANSIT CUSTOM,ford,transit custom,mobility_sweden_exact_raw_name,,False,1.0
LEAPMOTOR,T03,leapmotor,t03,mobility_sweden_exact_raw_name,,False,1.0
FORD,TOURNEO CUSTOM,ford,tourneo custom,mobility_sweden_exact_raw_name,,False,1.0
TOYOTA,PROACE,toyota,proace,mobility_sweden_exact_raw_name,,False,1.0
MG,CYBERSTER,mg,cyberster,mobility_sweden_exact_raw_name,,False,1.0
ÖVRIGA,FABRIKAT,ovriga,fabrikat,manual_mapping_required,ÖVRIGA FABRIKAT,True,0.0
