brand_raw,model_raw,fuel_type_raw,normalized_brand,normalized_model,model_group,needs_mapping,first_seen_month,last_seen_month,registrations_last_month,registrations_ytd,registrations_12m,source_name,source_url
PORSCHE,MACAN,EL,porsche,macan,,False,2026-03-01,2026-03-01,32,94,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
MINI,COUNTRYMAN,EL,mini,countryman,,False,2026-03-01,2026-03-01,42,93,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
RENAULT,4,EL,renault,4,,False,2026-03-01,2026-03-01,39,92,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
VOLVO,ÖVRIGA,EL,volvo,ovriga,VOLVO ÖVRIGA,True,2026-03-01,2026-03-01,77,92,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
BMW,IX2,EL,bmw,ix2,,False,2026-03-01,2026-03-01,31,91,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
XPENG,G9,EL,xpeng,g9,,False,2026-03-01,2026-03-01,38,84,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
HYUNDAI,INSTER,EL,hyundai,inster,,False,2026-03-01,2026-03-01,20,84,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
MERCEDES,GLB,EL,mercedes benz,glb,,False,2026-03-01,2026-03-01,77,77,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
FORD,CAPRI,EL,ford,capri,,False,2026-03-01,2026-03-01,34,73,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
CUPRA,TAVASCAN,EL,cupra,tavascan,,False,2026-03-01,2026-03-01,73,73,,Mobility Sweden,https://mobilitysweden.se/storage/81E8AFE482952820F871DF61E1942405AEA9BAA33CB01B8B6DB077866E558013/43a58d8238c241c8a43e6efde0629b36/xlsx/media/ae97b865004b44fe86200f89e143f639/M%C3%A5nadsrapport%20Nyregistreringar%20mars%202026.xlsx
